reg;ind;total_emp;nr_firms;rca;rca01;
1;11;113;6;0.272;0;
1;12;…;NA;…;0;
1;14;190;4;0.543;0;
1;16;…;NA;…;0;
1;103;NA;NA;…;0;
1;104;NA;NA;…;1;
1;105;NA;NA;…;0;
1;107;NA;6;…;1;
1;108;79;6;0.647;0;
1;109;…;NA;…;1;
1;139;…;NA;…;0;
1;141;98;11;0.297;0;
1;143;NA;NA;…;0;
1;152;…;NA;…;0;
1;161;NA;NA;…;0;
1;162;69;6;0.399;0;
1;172;…;NA;…;0;
1;181;156;23;0.926;0;
1;201;NA;NA;…;0;
1;203;NA;NA;…;0;
1;211;NA;NA;…;0;
1;212;NA;NA;…;0;
1;222;NA;6;…;0;
1;231;…;NA;…;0;
1;236;…;NA;…;0;
1;237;…;NA;…;0;
1;239;…;NA;…;0;
1;241;NA;NA;…;0;
1;244;NA;NA;…;1;
1;251;38;4;0.122;0;
1;255;NA;NA;…;0;
1;256;95;8;0.312;0;
1;257;NA;NA;…;0;
1;259;NA;NA;…;0;
1;261;…;NA;…;0;
1;263;…;NA;…;0;
1;264;NA;NA;…;0;
1;265;NA;NA;…;0;
1;271;NA;NA;…;0;
1;281;NA;NA;…;0;
1;282;75;10;0.367;0;
1;289;22;5;0.213;0;
1;293;NA;NA;…;0;
1;301;NA;NA;…;1;
1;303;NA;NA;…;0;
1;309;NA;NA;…;1;
1;310;64;8;0.317;0;
1;321;…;NA;…;0;
1;322;NA;NA;…;1;
1;324;NA;NA;…;0;
1;325;35;7;0.322;0;
1;329;NA;NA;…;0;
1;331;27;7;0.186;0;
1;332;…;NA;…;0;
1;351;NA;5;…;0;
1;353;NA;NA;…;0;
1;370;…;NA;…;0;
1;381;NA;NA;…;0;
1;382;NA;NA;…;0;
1;383;NA;NA;…;0;
1;390;NA;NA;…;0;
1;411;137;23;1.916;1;
1;412;641;52;0.761;0;
1;421;742;7;3.415;1;
1;422;270;24;1.202;1;
1;429;17;4;0.325;0;
1;431;66;10;0.551;0;
1;432;203;33;0.374;0;
1;433;39;9;0.149;0;
1;439;304;21;05.jan;1;
1;451;104;23;0.306;0;
1;452;66;11;0.262;0;
1;453;22;4;0.158;0;
1;454;…;NA;…;1;
1;461;262;30;1.267;1;
1;462;63;7;0.682;0;
1;463;189;21;0.461;0;
1;464;1032;48;2.526;1;
1;465;72;14;1.176;1;
1;466;52;7;0.448;0;
1;467;249;25;0.745;0;
1;469;499;68;1.452;1;
1;471;345;63;0.263;0;
1;472;137;20;0.414;0;
1;474;249;17;3.711;1;
1;475;73;15;0.239;0;
1;476;35;7;0.389;0;
1;477;624.753;117;0.707;0;
1;479;252;22;1.969;1;
1;493;18;6;0.04;0;
1;494;67;11;0.091;0;
1;503;NA;NA;…;1;
1;521;56;7;0.747;0;
1;522;122;9;0.209;0;
1;532;…;NA;…;0;
1;551;1328;20;5.447;1;
1;552;…;NA;…;0;
1;559;NA;NA;…;1;
1;561;1217;120;1.362;1;
1;562;49;7;0.327;0;
1;563;97;14;0.405;0;
1;581;318;45;2.736;1;
1;582;167;13;2.961;1;
1;591;158;26;3.185;1;
1;592;…;NA;…;1;
1;601;69;9;11.829;1;
1;602;…;NA;…;0;
1;611;326;15;3.647;1;
1;612;NA;NA;…;0;
1;619;…;NA;…;1;
1;620;637;68;1.266;1;
1;631;NA;22;…;1;
1;639;71;7;4.455;1;
1;642;37;8;1.465;1;
1;649;127;17;1.605;1;
1;653;NA;NA;…;1;
1;661;80;11;1.443;1;
1;662;39;10;0.667;0;
1;663;103;7;13.917;1;
1;681;350.977;71;1.579;1;
1;682;673;60;2.338;1;
1;683;434;37;2.883;1;
1;691;532;134;4.623;1;
1;692;289;56;0.422;0;
1;701;133;16;2.858;1;
1;702;827;134;2.561;1;
1;711;759;118;2.246;1;
1;712;24;10;0.339;0;
1;721;82;18;0.447;0;
1;722;530;22;16.328;1;
1;731;487;52;3.97;1;
1;732;67;13;29.febr;1;
1;741;34;5;3.551;1;
1;742;72;9;3.023;1;
1;743;41;12;3.028;1;
1;749;186;21;1.578;1;
1;750;NA;NA;…;0;
1;771;27;4;0.958;0;
1;772;NA;NA;…;0;
1;773;14;5;0.266;0;
1;774;NA;NA;…;1;
1;781;53;6;0.503;0;
1;782;197;6;0.363;0;
1;783;…;NA;…;0;
1;791;177;23;2.825;1;
1;799;27;6;4.815;1;
1;801;NA;7;…;0;
1;802;NA;5;…;1;
1;803;NA;NA;…;0;
1;811;NA;NA;…;0;
1;812;111;21;0.272;0;
1;813;…;NA;…;0;
1;821;84;8;1.193;1;
1;822;NA;NA;…;1;
1;823;67;19;2.088;1;
1;829;366;42;1.037;1;
1;841;5769;23;1.439;1;
1;842;NA;NA;…;0;
1;851;NA;NA;…;0;
1;852;311;7;0.21;0;
1;853;466;14;0.542;0;
1;854;14;4;0.022;0;
1;855;399;44;3.134;1;
1;856;47;4;1.407;1;
1;861;…;NA;…;0;
1;862;418;109;1.006;1;
1;869;78;15;0.365;0;
1;873;NA;NA;…;0;
1;881;NA;NA;…;0;
1;889;NA;NA;…;0;
1;900;596;37;4.289;1;
1;910;7083;16;41.337;1;
1;920;NA;NA;…;1;
1;931;139;20;0.893;0;
1;932;159;15;1.595;1;
1;941;278;9;13.877;1;
1;942;NA;NA;…;0;
1;949;240;32;0.863;0;
1;951;NA;NA;…;0;
1;952;38;5;0.68;0;
1;960;485;49;1.65;1;
1;990;…;NA;…;1;
2;11;157;23;0.155;0;
2;12;25;5;0.219;0;
2;13;…;NA;…;0;
2;14;25;5;0.029;0;
2;15;…;NA;…;0;
2;16;62;9;0.231;0;
2;17;…;NA;…;0;
2;21;NA;NA;…;0;
2;22;…;NA;…;0;
2;23;NA;NA;…;1;
2;24;…;NA;…;0;
2;31;NA;NA;…;1;
2;32;NA;NA;…;0;
2;61;NA;NA;…;1;
2;62;NA;NA;…;1;
2;72;NA;NA;…;1;
2;81;…;NA;…;0;
2;91;NA;NA;…;1;
2;101;404.596;13;0.555;0;
2;103;77;8;0.312;0;
2;104;NA;NA;…;1;
2;105;…;NA;…;0;
2;106;NA;NA;…;0;
2;107;270;22;0.339;0;
2;108;45;10;0.151;0;
2;109;NA;NA;…;0;
2;110;54;12;0.178;0;
2;132;NA;NA;…;0;
2;139;311;8;0.715;0;
2;141;251;36;0.311;0;
2;142;…;NA;…;0;
2;143;73;11;1.019;1;
2;151;…;NA;…;0;
2;152;92;6;0.385;0;
2;161;58;10;0.38;0;
2;162;232;22;0.549;0;
2;172;NA;NA;…;0;
2;181;251.352;54;0.61;0;
2;182;17;4;1.746;1;
2;201;318;7;1.679;1;
2;202;…;NA;…;0;
2;204;59;4;0.671;0;
2;205;…;NA;…;1;
2;211;NA;NA;…;0;
2;212;55;4;0.179;0;
2;221;NA;NA;…;0;
2;222;317;27;0.363;0;
2;231;NA;NA;…;0;
2;232;NA;NA;…;0;
2;233;…;NA;…;0;
2;234;19;4;0.159;0;
2;235;NA;NA;…;0;
2;236;NA;NA;…;0;
2;237;52;6;1.483;1;
2;239;NA;NA;…;0;
2;251;204;25;0.269;0;
2;252;108;6;1.068;1;
2;256;378;34;0.508;0;
2;257;31;7;0.197;0;
2;259;67;7;0.278;0;
2;261;63;7;0.141;0;
2;262;NA;NA;…;1;
2;263;48;6;0.192;0;
2;264;NA;NA;…;0;
2;265;52;6;0.538;0;
2;266;35;6;0.826;0;
2;267;42;4;2.259;1;
2;271;NA;6;…;1;
2;273;NA;NA;…;0;
2;274;29;4;0.432;0;
2;279;16;4;0.132;0;
2;281;80;5;0.086;0;
2;282;196;18;0.393;0;
2;283;NA;NA;…;0;
2;284;…;NA;…;0;
2;289;194;9;0.77;0;
2;291;…;NA;…;0;
2;292;NA;NA;…;0;
2;293;NA;NA;…;0;
2;301;16;4;1.378;1;
2;302;NA;NA;…;0;
2;310;273;25;0.554;0;
2;321;12;5;0.499;0;
2;323;NA;NA;…;0;
2;324;14;4;0.164;0;
2;325;NA;23;…;1;
2;329;13;4;0.077;0;
2;331;60;7;0.17;0;
2;332;25;7;0.24;0;
2;351;36;6;0.128;0;
2;352;NA;NA;…;0;
2;353;NA;NA;…;0;
2;360;…;NA;…;0;
2;370;NA;NA;…;0;
2;381;NA;NA;…;0;
2;382;…;NA;…;0;
2;383;NA;4;…;1;
2;390;…;NA;…;1;
2;411;219;47;1.253;1;
2;412;1012;145;0.492;0;
2;421;319;26;0.601;0;
2;422;321;32;0.585;0;
2;429;38;6;0.298;0;
2;431;123;21;0.42;0;
2;432;815;123;0.615;0;
2;433;247;53;0.385;0;
2;439;328;40;0.463;0;
2;451;543;80;0.653;0;
2;452;353;73;0.572;0;
2;453;96;21;0.283;0;
2;454;18;5;0.726;0;
2;461;715;116;1.415;1;
2;462;90;14;0.399;0;
2;463;1145.958;76;1.143;1;
2;464;1497;148;05.jan;1;
2;465;260;28;1.737;1;
2;466;184;36;0.649;0;
2;467;426;77;0.522;0;
2;469;1413;189;1.683;1;
2;471;1940;150;0.606;0;
2;472;719;114;0.889;0;
2;473;62;9;0.326;0;
2;474;144;22;0.878;0;
2;475;480;90;0.642;0;
2;476;403;33;1.833;1;
2;477;1999;314;0.926;0;
2;478;130;18;0.666;0;
2;479;446;73;1.426;1;
2;492;…;NA;…;0;
2;493;167;29;0.153;0;
2;494;428;48;0.237;0;
2;511;…;NA;…;0;
2;521;…;NA;…;0;
2;522;14499;45;10.181;1;
2;532;48;6;0.444;0;
2;551;697;45;17.jan;1;
2;552;44;9;0.918;0;
2;559;80;10;0.823;0;
2;561;2673;329;1.224;1;
2;562;183;27;0.5;0;
2;563;240;58;0.41;0;
2;581;487.002;68;1.715;1;
2;582;448.22;42;3.252;1;
2;591;669;98;5.518;1;
2;592;69;18;6.413;1;
2;601;NA;NA;…;1;
2;602;46;5;0.577;0;
2;611;…;NA;…;0;
2;612;NA;5;…;0;
2;619;NA;NA;…;1;
2;620;2404.84;264;1.955;1;
2;631;789.463;57;3.397;1;
2;639;83;15;2.131;1;
2;641;NA;NA;…;1;
2;642;86;17;1.393;1;
2;649;1392;51;02.júl;1;
2;651;NA;5;…;1;
2;652;NA;NA;…;1;
2;653;NA;NA;…;0;
2;661;577;36;4.258;1;
2;662;120;26;0.84;0;
2;663;139;16;7.685;1;
2;681;1673;230;08.márc;1;
2;682;902;182;1.282;1;
2;683;377;96;1.025;1;
2;691;818;222;2.909;1;
2;692;855.452;194;0.512;0;
2;701;270;36;2.374;1;
2;702;2080;418;2.635;1;
2;711;2207;346;2.672;1;
2;712;148;26;0.855;0;
2;721;746;72;1.665;1;
2;722;104;20;1.311;1;
2;731;1147;133;3.826;1;
2;732;230;21;3.217;1;
2;741;95;27;06.ápr;1;
2;742;44;18;0.756;0;
2;743;165;37;4.985;1;
2;749;910;90;3.158;1;
2;750;37;11;0.787;0;
2;771;35;9;0.508;0;
2;772;62;7;1.357;1;
2;773;65;16;0.505;0;
2;774;…;NA;…;0;
2;781;263;24;1.022;1;
2;782;4377;15;3.296;1;
2;783;18;4;0.08;0;
2;791;938;51;6.125;1;
2;799;39;11;2.846;1;
2;801;996.315;44;1.472;1;
2;802;138;20;0.435;0;
2;811;250;20;0.775;0;
2;812;1935;59;1.937;1;
2;813;58;16;0.358;0;
2;821;158;31;0.918;0;
2;822;…;NA;…;0;
2;823;344;42;4.387;1;
2;829;1708;130;1.98;1;
2;841;5755;21;0.587;0;
2;842;2299;5;1.153;1;
2;851;569;33;0.459;0;
2;852;2635;63;0.728;0;
2;853;579;15;0.276;0;
2;854;22;11;0.014;0;
2;855;283;68;0.91;0;
2;856;116;8;1.421;1;
2;861;1494;14;0.705;0;
2;862;2401;359;2.365;1;
2;869;427;50;0.819;0;
2;873;479;9;0.484;0;
2;879;317;7;1.097;1;
2;881;340;15;0.906;0;
2;889;266;14;0.471;0;
2;900;488;104;1.437;1;
2;910;NA;7;…;1;
2;920;26;10;0.254;0;
2;931;376;52;0.988;0;
2;932;233;28;0.957;0;
2;941;181;7;3.697;1;
2;942;NA;NA;…;0;
2;949;1097;49;1.614;1;
2;951;67;13;0.907;0;
2;952;235;33;1.721;1;
2;960;641;136;0.892;0;
2;990;NA;NA;…;1;
3;11;132;14;0.127;0;
3;12;34;4;0.292;0;
3;13;NA;NA;…;0;
3;14;305;8;0.349;0;
3;15;NA;NA;…;0;
3;16;87;13;0.316;0;
3;21;…;NA;…;0;
3;22;124;4;0.755;0;
3;24;…;NA;…;0;
3;81;35;5;0.471;0;
3;99;NA;NA;…;1;
3;101;577;14;0.774;0;
3;103;66;7;0.262;0;
3;104;NA;NA;…;0;
3;105;NA;NA;…;0;
3;106;170;5;1.719;1;
3;107;731;61;0.897;0;
3;108;111;16;0.363;0;
3;109;…;NA;…;0;
3;110;135;10;0.434;0;
3;131;NA;NA;…;0;
3;132;NA;NA;…;0;
3;133;43;7;2.107;1;
3;139;598;20;1.343;1;
3;141;422;48;0.512;0;
3;143;77;14;1.051;1;
3;151;35;7;0.285;0;
3;152;…;NA;…;0;
3;161;75;12;0.48;0;
3;162;222;28;0.514;0;
3;171;NA;NA;…;0;
3;172;674;21;1.791;1;
3;181;985;120;2.337;1;
3;182;28;6;2.81;1;
3;201;53;5;0.273;0;
3;202;NA;NA;…;0;
3;203;NA;NA;…;0;
3;204;76;9;0.845;0;
3;205;NA;NA;…;0;
3;211;…;NA;…;1;
3;212;NA;NA;…;1;
3;221;95;5;0.311;0;
3;222;394;32;0.44;0;
3;231;96;6;0.673;0;
3;233;NA;NA;…;0;
3;234;43;4;0.351;0;
3;236;40;8;0.217;0;
3;237;20;6;0.557;0;
3;239;NA;NA;…;0;
3;241;NA;NA;…;0;
3;242;NA;NA;…;0;
3;244;NA;NA;…;0;
3;245;NA;NA;…;0;
3;251;493;48;0.635;0;
3;252;176;5;07.jan;1;
3;253;...;NA;…;1;
3;255;NA;NA;…;0;
3;256;208;27;0.273;0;
3;257;NA;8;…;0;
3;259;97;12;0.394;0;
3;261;...;NA;…;0;
3;262;58;5;0.287;0;
3;263;63;10;0.246;0;
3;264;NA;NA;…;0;
3;265;91;10;0.921;0;
3;266;245;7;5.654;1;
3;267;24;8;1.262;1;
3;271;40;6;0.122;0;
3;275;...;NA;…;0;
3;279;88;5;0.708;0;
3;281;NA;5;…;1;
3;282;283;36;0.554;0;
3;284;NA;NA;…;0;
3;289;334;12;1.295;1;
3;291;NA;NA;…;0;
3;293;109;4;0.065;0;
3;301;42;6;3.535;1;
3;303;NA;NA;…;0;
3;309;34;5;0.999;0;
3;310;309;27;0.613;0;
3;321;17;5;0.69;0;
3;322;NA;NA;…;0;
3;324;...;NA;…;0;
3;325;151;25;0.555;0;
3;329;56;12;0.322;0;
3;331;162;33;0.447;0;
3;332;96;15;0.901;0;
3;351;934;10;3.243;1;
3;352;...;NA;…;0;
3;353;...;NA;…;0;
3;360;...;NA;…;0;
3;370;...;NA;…;0;
3;381;22;5;0.079;0;
3;383;45;5;0.655;0;
3;390;NA;NA;…;1;
3;411;277;48;1.549;1;
3;412;2708;294;1.286;1;
3;421;453;43;0.834;0;
3;422;1243;70;2.213;1;
3;429;60;12;0.459;0;
3;431;238;46;0.795;0;
3;432;1991.924;246;1.468;1;
3;433;456;105;0.695;0;
3;439;1038;121;1.433;1;
3;451;1560;145;1.834;1;
3;452;628;140;0.995;0;
3;453;373;48;1.073;1;
3;454;23;5;0.907;0;
3;461;1017;158;1.966;1;
3;462;151;32;0.654;0;
3;463;1257;108;1.225;1;
3;464;2264;269;2.216;1;
3;465;663.391;56;4.331;1;
3;466;790;69;2.723;1;
3;467;755;124;0.903;0;
3;469;1860;213;2.165;1;
3;471;6063;263;1.85;1;
3;472;568;137;0.686;0;
3;473;168;13;0.864;0;
3;474;339;41;02.febr;1;
3;475;581;105;0.759;0;
3;476;258;64;1.147;1;
3;477;2911.667;403;1.318;1;
3;478;108;40;0.541;0;
3;479;340;87;1.062;1;
3;492;NA;NA;…;1;
3;493;234;55;0.209;0;
3;494;607.087;123;0.328;0;
3;495;NA;NA;…;1;
3;503;NA;NA;…;0;
3;511;NA;NA;…;0;
3;521;231;12;1.233;1;
3;522;606;48;0.416;0;
3;532;152;17;1.375;1;
3;551;728;31;1.194;1;
3;552;51;5;04.jan;1;
3;553;...;NA;…;0;
3;559;29;5;0.291;0;
3;561;2902;425;1.299;1;
3;562;178;28;0.475;0;
3;563;502;103;0.839;0;
3;581;2259;91;7.773;1;
3;582;1333;35;9.452;1;
3;591;730;89;5.884;1;
3;592;38;8;3.452;1;
3;601;89;4;6.101;1;
3;602;369;10;4.524;1;
3;611;110;13;0.492;0;
3;612;87;5;0.454;0;
3;619;...;NA;…;1;
3;620;5000.037;367;3.973;1;
3;631;773;70;3.251;1;
3;639;54;15;1.355;1;
3;642;372;9;5.89;1;
3;649;220;20;1.112;1;
3;651;261;5;15.jan;1;
3;661;275;47;1.983;1;
3;662;165;49;1.129;1;
3;663;28;4;1.513;1;
3;681;1175.686;216;2.115;1;
3;682;1420;196;1.973;1;
3;683;804;109;2.136;1;
3;691;312;93;1.084;1;
3;692;1596;291;0.933;0;
3;701;301;33;2.587;1;
3;702;1902;344;2.355;1;
3;711;1839;267;2.176;1;
3;712;175;33;0.988;0;
3;721;887;68;1.935;1;
3;722;174;19;2.144;1;
3;731;1399;146;4.561;1;
3;732;178;30;2.433;1;
3;741;116;21;4.844;1;
3;742;62;16;1.041;1;
3;743;40;14;1.181;1;
3;749;338;77;1.146;1;
3;750;47;12;0.978;0;
3;771;108;28;1.533;1;
3;772;90;17;1.925;1;
3;773;228;20;1.73;1;
3;774;49;5;7.084;1;
3;781;273;23;1.037;1;
3;782;587;19;0.432;0;
3;783;224;7;0.97;0;
3;791;159;33;1.015;1;
3;799;46;13;3.281;1;
3;801;2502.129;89;3.613;1;
3;802;622;51;1.915;1;
3;803;47;8;1.976;1;
3;811;610;31;1.847;1;
3;812;1977;118;1.934;1;
3;813;88;25;0.53;0;
3;821;145;39;0.823;0;
3;822;NA;6;…;1;
3;823;230;43;2.867;1;
3;829;1320;148;1.495;1;
3;841;771;6;0.077;0;
3;842;NA;NA;…;0;
3;851;746;16;0.588;0;
3;852;2119;41;0.572;0;
3;853;758;25;0.353;0;
3;854;2063;17;1.269;1;
3;855;446;94;1.401;1;
3;856;142;13;07.jan;1;
3;861;...;NA;…;0;
3;862;995;207;0.958;0;
3;869;1196;47;2.241;1;
3;873;195;4;0.192;0;
3;879;...;NA;…;0;
3;881;238;4;0.62;0;
3;889;509;16;0.882;0;
3;900;571;71;1.643;1;
3;910;NA;6;…;0;
3;920;86;15;0.82;0;
3;931;347;72;0.892;0;
3;932;272;25;1.091;1;
3;941;9;4;0.18;0;
3;942;20;5;0.704;0;
3;949;2665;59;3.832;1;
3;951;110;24;1.455;1;
3;952;156;42;1.117;1;
3;960;1970;221;2.68;1;
3;990;...;NA;…;1;
4;11;NA;NA;…;0;
4;14;...;NA;…;0;
4;16;20;7;0.095;0;
4;21;NA;NA;…;0;
4;22;NA;NA;…;0;
4;81;44;5;0.775;0;
4;101;21;6;0.037;0;
4;103;...;NA;…;0;
4;105;...;NA;…;0;
4;107;210;23;0.337;0;
4;108;165;9;0.706;0;
4;110;68;6;0.286;0;
4;131;NA;NA;…;1;
4;132;...;NA;…;1;
4;133;85;8;5.445;1;
4;139;225;19;0.661;0;
4;141;229;30;0.363;0;
4;142;...;NA;…;1;
4;143;112;6;1.998;1;
4;151;76;8;0.81;0;
4;152;102;11;0.546;0;
4;161;37;8;0.31;0;
4;162;102;15;0.309;0;
4;172;52;7;0.181;0;
4;181;968;82;3.003;1;
4;182;18;6;2.362;1;
4;201;645;6;4.35;1;
4;203;...;NA;…;1;
4;204;71;4;1.032;1;
4;205;NA;NA;…;0;
4;211;NA;NA;…;1;
4;212;1833;5;7.602;1;
4;221;...;NA;…;0;
4;222;86;11;0.126;0;
4;231;179;6;1.642;1;
4;233;NA;NA;…;0;
4;236;24;4;0.17;0;
4;237;12;4;0.437;0;
4;242;...;NA;…;1;
4;243;NA;NA;…;0;
4;244;...;NA;…;0;
4;245;NA;NA;…;0;
4;251;175;20;0.295;0;
4;252;187;4;2.362;1;
4;255;NA;NA;…;0;
4;256;188;25;0.323;0;
4;257;71;11;0.577;0;
4;259;140;8;0.743;0;
4;261;315;8;0.898;0;
4;262;NA;NA;…;0;
4;263;73;10;0.372;0;
4;264;...;NA;…;0;
4;265;160;5;2.116;1;
4;266;NA;NA;…;0;
4;271;46;4;0.183;0;
4;273;192;5;1.025;1;
4;274;49;4;0.933;0;
4;275;NA;NA;…;0;
4;279;37;5;0.389;0;
4;281;33437;7;45.808;1;
4;282;190;24;0.486;0;
4;284;...;NA;…;0;
4;289;81;9;0.411;0;
4;291;...;NA;…;0;
4;293;NA;NA;…;0;
4;302;NA;NA;…;0;
4;309;NA;NA;…;0;
4;310;338;38;0.876;0;
4;321;15;6;0.797;0;
4;323;...;NA;…;0;
4;324;NA;NA;…;0;
4;325;100;12;0.481;0;
4;329;128;7;0.964;0;
4;331;124;24;0.448;0;
4;332;42;11;0.515;0;
4;351;...;NA;…;0;
4;353;NA;NA;…;0;
4;360;...;NA;…;0;
4;370;NA;NA;…;0;
4;381;...;NA;…;0;
4;382;NA;NA;…;0;
4;383;...;NA;…;0;
4;411;80;21;0.585;0;
4;412;1078;176;0.669;0;
4;421;235;29;0.566;0;
4;422;352;37;0.819;0;
4;429;24;6;0.24;0;
4;431;169;32;0.738;0;
4;432;868;165;0.836;0;
4;433;408;89;0.813;0;
4;439;654;59;1.181;1;
4;451;669;76;1.028;1;
4;452;438;83;0.907;0;
4;453;126;23;0.474;0;
4;454;NA;NA;…;0;
4;461;466;86;1.178;1;
4;462;72;21;0.408;0;
4;463;585;58;0.746;0;
4;464;1470;168;1.882;1;
4;465;238;26;2.032;1;
4;466;355;41;06.jan;1;
4;467;592;73;0.926;0;
4;469;2606;140;3.965;1;
4;471;946;206;0.377;0;
4;472;566;123;0.894;0;
4;473;74;9;0.498;0;
4;474;195;29;1.52;1;
4;475;242;57;0.414;0;
4;476;110;24;0.639;0;
4;477;1118;251;0.662;0;
4;478;120;43;0.786;0;
4;479;167;48;0.682;0;
4;492;NA;NA;…;0;
4;493;91;21;0.106;0;
4;494;590;117;0.417;0;
4;503;...;NA;…;1;
4;504;...;NA;…;1;
4;511;NA;NA;…;0;
4;521;168;11;1.172;1;
4;522;365;41;0.327;0;
4;531;NA;NA;…;0;
4;532;81;12;0.958;0;
4;551;317;10;0.68;0;
4;552;16;4;0.427;0;
4;553;...;NA;…;1;
4;559;...;NA;…;0;
4;561;969;156;0.567;0;
4;562;325;32;1.134;1;
4;563;204;58;0.446;0;
4;581;212;28;0.954;0;
4;582;56;15;0.519;0;
4;591;61;17;0.643;0;
4;592;...;NA;…;0;
4;601;NA;NA;…;0;
4;602;NA;NA;…;0;
4;611;14;4;0.082;0;
4;612;...;NA;…;0;
4;619;54;5;3.342;1;
4;620;830;141;0.862;0;
4;631;124;31;0.682;0;
4;639;15;4;0.492;0;
4;642;NA;NA;…;1;
4;649;47;6;0.311;0;
4;653;NA;NA;…;0;
4;661;49;12;0.462;0;
4;662;147;37;1.315;1;
4;663;NA;NA;…;0;
4;681;521;96;1.226;1;
4;682;535;90;0.972;0;
4;683;296;67;1.028;1;
4;691;193;36;0.877;0;
4;692;493;134;0.377;0;
4;701;87;9;0.977;0;
4;702;630;125;02.jan;1;
4;711;461.115;91;0.713;0;
4;712;379;25;2.799;1;
4;721;424;27;1.209;1;
4;722;19;5;0.306;0;
4;731;161;42;0.686;0;
4;732;33;10;0.59;0;
4;742;31;8;0.68;0;
4;743;24;12;0.927;0;
4;749;149;40;0.661;0;
4;750;43;7;1.169;1;
4;771;17;5;0.315;0;
4;772;34;7;0.951;0;
4;773;57;9;0.565;0;
4;774;NA;NA;…;0;
4;781;601;15;2.984;1;
4;782;195.833;9;0.188;0;
4;783;...;NA;…;0;
4;791;51;9;0.426;0;
4;799;11;5;1.026;1;
4;801;428;50;0.808;0;
4;802;335;34;1.348;1;
4;803;86;7;4.728;1;
4;811;81;9;0.321;0;
4;812;2374;111;3.037;1;
4;813;196;14;1.545;1;
4;821;172;18;1.277;1;
4;822;...;NA;…;0;
4;823;23;7;0.375;0;
4;829;775;97;1.148;1;
4;841;512;7;0.067;0;
4;851;637;22;0.656;0;
4;852;222;8;0.078;0;
4;853;535;12;0.325;0;
4;854;...;NA;…;0;
4;855;188;43;0.772;0;
4;856;NA;NA;…;0;
4;861;480;8;0.29;0;
4;862;519;82;0.653;0;
4;869;75;20;0.184;0;
4;873;344;4;0.444;0;
4;879;...;NA;…;0;
4;881;NA;NA;…;0;
4;889;418;9;0.947;0;
4;900;72;24;0.271;0;
4;910;...;NA;…;0;
4;920;20;6;0.249;0;
4;931;405;30;1.36;1;
4;932;249;18;1.306;1;
4;941;...;NA;…;0;
4;942;NA;NA;…;0;
4;949;NA;14;…;0;
4;951;236;19;08.ápr;1;
4;952;125;24;17.jan;1;
4;960;820;164;1.459;1;
5;11;95;10;0.032;0;
5;13;NA;NA;…;0;
5;14;254.52;10;0.101;0;
5;15;NA;NA;…;0;
5;16;67;9;0.085;0;
5;21;...;NA;…;0;
5;22;NA;NA;…;0;
5;24;NA;NA;…;1;
5;31;NA;NA;…;1;
5;32;NA;NA;…;1;
5;81;...;NA;…;0;
5;91;...;NA;…;0;
5;101;35;8;0.016;0;
5;103;78;4;0.107;0;
5;105;NA;NA;…;0;
5;106;NA;NA;…;0;
5;107;207;15;0.088;0;
5;108;110;8;0.125;0;
5;110;NA;5;…;0;
5;131;NA;NA;…;0;
5;132;NA;NA;…;1;
5;139;55;7;0.043;0;
5;141;451;39;0.19;0;
5;142;NA;NA;…;0;
5;152;217;10;0.309;0;
5;161;45;5;0.1;0;
5;162;21;7;0.017;0;
5;181;674;41;0.555;0;
5;182;NA;NA;…;0;
5;201;...;NA;…;0;
5;204;...;NA;…;0;
5;221;...;NA;…;0;
5;222;759;11;0.295;0;
5;234;...;NA;…;0;
5;236;38;4;0.071;0;
5;239;NA;NA;…;0;
5;251;167.005;16;0.075;0;
5;252;NA;NA;…;0;
5;253;NA;NA;…;0;
5;256;355;12;0.162;0;
5;257;...;NA;…;0;
5;259;...;NA;…;0;
5;261;NA;5;…;0;
5;263;53;5;0.072;0;
5;264;NA;NA;…;1;
5;265;NA;NA;…;0;
5;266;...;NA;…;0;
5;271;NA;NA;…;0;
5;274;...;NA;…;0;
5;279;NA;NA;…;0;
5;281;...;NA;…;0;
5;282;110;11;0.075;0;
5;289;...;NA;…;0;
5;293;...;NA;…;0;
5;302;NA;NA;…;1;
5;303;NA;NA;…;0;
5;309;NA;NA;…;0;
5;310;132;15;0.091;0;
5;321;36;9;0.508;0;
5;324;NA;NA;…;0;
5;325;34;7;0.043;0;
5;329;NA;4;…;0;
5;331;23;9;0.022;0;
5;332;100;7;0.326;0;
5;351;206;11;0.248;0;
5;370;NA;NA;…;0;
5;381;...;NA;…;0;
5;382;...;NA;…;0;
5;383;...;NA;…;0;
5;411;321;54;0.623;0;
5;412;971;109;0.16;0;
5;421;129;14;0.082;0;
5;422;154;22;0.095;0;
5;429;75;9;0.199;0;
5;431;77;12;0.089;0;
5;432;316;54;0.081;0;
5;433;150;31;0.079;0;
5;439;239;37;0.115;0;
5;451;253;61;0.103;0;
5;452;95;13;0.052;0;
5;453;127;15;0.127;0;
5;454;...;NA;…;0;
5;461;548;106;0.368;0;
5;462;141;22;0.212;0;
5;463;654;68;0.221;0;
5;464;642;101;0.218;0;
5;465;112;13;0.254;0;
5;466;183;25;0.219;0;
5;467;308;64;0.128;0;
5;469;1150;147;0.465;0;
5;471;1259;111;0.133;0;
5;472;452.898;72;0.19;0;
5;473;26;6;0.046;0;
