"reg";"ind";"rca01"
1;1;0
2;1;1
3;1;1
4;1;1
5;1;1
6;1;1
7;1;1
8;1;1
9;1;1
10;1;0
11;1;1
12;1;1
13;1;0
14;1;1
15;1;1
16;1;1
17;1;1
18;1;1
19;1;1
20;1;1
1;2;0
2;2;1
3;2;1
4;2;0
5;2;1
6;2;0
7;2;0
8;2;0
9;2;0
10;2;1
11;2;1
12;2;1
13;2;0
14;2;1
15;2;1
16;2;1
17;2;1
18;2;1
19;2;1
20;2;1
1;3;0
2;3;1
3;3;1
4;3;1
5;3;0
6;3;1
7;3;0
8;3;0
9;3;1
10;3;0
11;3;0
12;3;0
13;3;1
14;3;1
15;3;1
16;3;1
17;3;1
18;3;0
19;3;0
20;3;0
1;5;0
2;5;0
3;5;0
4;5;0
5;5;1
6;5;0
7;5;0
8;5;0
9;5;0
10;5;0
11;5;1
12;5;1
13;5;0
14;5;0
15;5;0
16;5;0
17;5;0
18;5;0
19;5;1
20;5;0
1;6;0
2;6;0
3;6;0
4;6;0
5;6;0
6;6;0
7;6;0
8;6;0
9;6;0
10;6;0
11;6;0
12;6;0
13;6;1
14;6;0
15;6;0
16;6;1
17;6;0
18;6;0
19;6;0
20;6;0
1;7;0
2;7;1
3;7;0
4;7;0
5;7;0
6;7;0
7;7;0
8;7;0
9;7;0
10;7;1
11;7;0
12;7;0
13;7;0
14;7;0
15;7;0
16;7;0
17;7;0
18;7;0
19;7;0
20;7;0
1;8;0
2;8;1
3;8;0
4;8;0
5;8;1
6;8;0
7;8;1
8;8;1
9;8;0
10;8;1
11;8;1
12;8;1
13;8;1
14;8;0
15;8;0
16;8;0
17;8;0
18;8;0
19;8;1
20;8;1
1;9;0
2;9;1
3;9;0
4;9;0
5;9;0
6;9;0
7;9;0
8;9;0
9;9;0
10;9;0
11;9;0
12;9;0
13;9;0
14;9;0
15;9;0
16;9;1
17;9;0
18;9;0
19;9;0
20;9;1
1;10;0
2;10;1
3;10;1
4;10;1
5;10;0
6;10;1
7;10;0
8;10;1
9;10;1
