"reg";"ind";"rca01"
1;111;0
2;111;1
3;111;1
4;111;1
5;111;1
6;111;1
7;111;1
8;111;0
9;111;1
10;111;1
11;111;0
12;111;1
13;111;0
14;111;1
15;111;1
16;111;1
17;111;1
18;111;1
19;111;0
20;111;1
1;112;0
2;112;0
3;112;0
4;112;1
5;112;0
6;112;0
7;112;0
8;112;0
9;112;1
10;112;0
11;112;0
12;112;0
13;112;0
14;112;0
15;112;1
16;112;1
17;112;0
18;112;0
19;112;0
20;112;0
1;113;0
2;113;0
3;113;1
4;113;1
5;113;0
6;113;1
7;113;0
8;113;0
9;113;1
10;113;1
11;113;0
12;113;0
13;113;1
14;113;0
15;113;1
16;113;1
17;113;0
18;113;0
19;113;0
20;113;0
1;115;0
2;115;0
3;115;1
4;115;0
5;115;0
6;115;1
7;115;0
8;115;0
9;115;0
10;115;0
11;115;0
12;115;0
13;115;0
14;115;0
15;115;1
16;115;0
17;115;0
18;115;0
19;115;0
20;115;0
1;116;0
2;116;0
3;116;0
4;116;0
5;116;0
6;116;1
7;116;0
8;116;0
9;116;0
10;116;0
11;116;0
12;116;0
13;116;0
14;116;0
15;116;0
16;116;0
17;116;0
18;116;1
19;116;0
20;116;0
1;119;0
2;119;0
3;119;1
4;119;1
5;119;1
6;119;1
7;119;1
8;119;0
9;119;0
10;119;0
11;119;1
12;119;0
13;119;1
14;119;0
15;119;1
16;119;0
17;119;0
18;119;1
19;119;0
20;119;1
1;121;0
2;121;1
3;121;1
4;121;0
5;121;1
6;121;0
7;121;0
8;121;0
9;121;0
10;121;1
11;121;0
12;121;0
13;121;0
14;121;1
15;121;1
16;121;0
17;121;1
18;121;0
19;121;1
20;121;0
1;122;0
2;122;0
3;122;0
4;122;0
5;122;0
6;122;0
7;122;0
8;122;0
9;122;0
10;122;0
11;122;0
12;122;0
13;122;0
14;122;0
15;122;1
16;122;0
17;122;0
18;122;0
19;122;0
20;122;0
1;123;1
2;123;0
3;123;0
4;123;0
5;123;0
6;123;0
7;123;0
8;123;0
9;123;0
10;123;1
11;123;1
12;123;0
13;123;0
14;123;0
15;123;0
16;123;0
17;123;0
18;123;0
19;123;0
20;123;0
1;124;0
2;124;0
3;124;1
4;124;0
5;124;0
6;124;0
7;124;1
8;124;0
9;124;0
10;124;1
11;124;0
12;124;0
13;124;1
14;124;1
15;124;1
16;124;0
17;124;0
18;124;0
19;124;1
20;124;1
1;125;0
2;125;1
3;125;1
4;125;0
5;125;1
6;125;1
7;125;1
8;125;1
9;125;0
10;125;1
11;125;0
12;125;1
13;125;1
14;125;1
15;125;1
16;125;1
17;125;1
18;125;0
19;125;0
20;125;0
1;127;0
2;127;0
3;127;0
4;127;0
5;127;0
6;127;0
7;127;0
8;127;0
9;127;0
10;127;0
11;127;0
12;127;0
13;127;0
14;127;1
15;127;0
16;127;0
17;127;0
18;127;0
19;127;0
20;127;0
1;128;0
2;128;0
3;128;1
4;128;1
5;128;0
6;128;0
7;128;0
8;128;0
9;128;0
10;128;0
11;128;0
12;128;1
13;128;1
14;128;1
15;128;0
16;128;0
17;128;1
18;128;0
19;128;0
20;128;0
1;129;0
2;129;0
3;129;1
4;129;0
5;129;0
6;129;0
7;129;1
8;129;0
9;129;1
10;129;0
11;129;0
12;129;0
13;129;0
14;129;1
15;129;0
16;129;0
17;129;1
18;129;1
19;129;0
20;129;1
1;130;0
2;130;0
3;130;1
4;130;0
5;130;0
6;130;1
7;130;0
8;130;1
9;130;1
10;130;1
11;130;0
12;130;0
13;130;1
14;130;1
15;130;0
16;130;1
17;130;0
