"ind1_2d";"ind2_2d";"ind1";"ind2";"egk_coagg";"egk_coagg_mne";"egk_coagg_local";"coagg_porter_emp";"coagg_porter_emp_mne";"coagg_porter_emp_local";"coagg_porter_emp_mixed";"coagg_porter_rca01";"coagg_porter_rca01_mne";"coagg_porter_rca01_local";"coagg_porter_rca01_mixed";"coagg_mat";"coagg_mat_mne";"coagg_mat_local";"coagg_mat_mixed"
1;1;11;11;0.0137561296060157;0.0930674909247508;0.0140074159934085;1;1;1;0.213680092989366;1;1;1;0.00909193876423539;0;0;0;0
1;1;11;12;0.00860307818510162;0.0030403298922894;0.00817360438431933;0.0737129183243428;-0.0300510510798688;0.0515912473924601;0.152354568003269;0.0199359569699204;-0.0435850156886536;0.0332170952181293;0.131120863110357;3.02579551421701e-06;0;3.01240921690054e-06;1.60143505952833e-05
1;1;11;13;0.00483321374590434;3.30445968763786e-05;0.00174395326000263;0.0848161695637583;-0.0222304615846155;0.0530893496340167;0.0123134960386954;0.0055556802635829;-0.0354834148577322;-0.0580333653842362;0.0403962290471005;2.48440778984375e-06;0;5.99643281684141e-06;1.45169400653904e-05
1;1;11;14;0.0100144371545524;0.0275952915793754;0.0100998816801342;0.3295740286601;0.207417608973878;0.284882165257925;0.13471203155965;0.365194276067983;0.073597225827387;0.370377616270325;0.080510624069106;2.02973792237129e-06;2.73132853337268e-05;2.21452058418789e-06;6.88785135639513e-06
1;1;11;15;0.0104703610156882;NA;0.0107305943327074;0.102123322570524;NA;0.111023458211081;-0.0170513987153497;0.0408306404802193;NA;0.0935922709644976;0.0403962290471005;1.11927202018444e-05;NA;1.20583712934336e-05;1.62672997024511e-05
1;1;11;16;0.00981160171069187;0.00420037056390247;0.0101914270653854;0.383959192377739;-0.0273344285798103;0.387473735568036;0.0632459369676364;0.361177059630996;-0.0354834148577322;0.386705545478829;-0.0731061393167172;3.15427450182521e-06;0;3.44001179555747e-06;6.95349786151911e-06
1;1;11;17;0.0111744434072021;0.120908827158857;0.00845403253967896;0.147701632056853;0.39189600249937;-0.0427682310774372;-0.0433257279812275;0.0153570098957322;0.23104805342651;-0.00667559377202732;-0.0251942405373945;2.35213280188556e-05;0.000398821261604591;1.8122730998946e-05;1.67560321715818e-05
1;1;12;11;0.00860307818510162;0.0030403298922894;0.00817360438431933;0.0737129183243428;-0.0300510510798688;0.0515912473924601;-0.00370178486285861;0.0199359569699204;-0.0435850156886536;0.0332170952181293;0.023400348878054;3.02579551421701e-06;0;3.01240921690054e-06;4.2785842278037e-06
1;1;12;12;0.03277956842037;0.433124938803417;0.0340119582029518;1;1;1;-0.042629091858597;1;1;1;0.0150093874672157;0;0;0;0
1;1;12;13;0.0163879192193932;0.00668120558079979;0.0124824929805007;0.255992448294828;-0.0103675079790402;0.306373608901482;-0.0319912883539729;0.142335118404695;-0.0142827997260011;0.0582081603710275;-0.0484895753956187;1.67279623831084e-05;0;4.15418351243024e-05;0
1;1;12;14;0.00882179900937389;0.00648545969677213;0.00786838066867537;0.109892471004173;-0.0258431139025243;0.0581973920482148;0.214970553208046;-0.0424350863669228;-0.0344084502515561;-0.0705531526754246;0.0674036804154821;4.65995050323177e-06;0;4.35764670489929e-06;2.41677545968986e-05
1;1;12;15;0.00711509015996518;NA;0.00688630179746175;-0.0328484039228746;NA;-0.026845637649988;-0.0345266463547557;0.148075228086303;NA;0.125071178406552;-0.0484895753956187;1.62953025522126e-05;NA;1.67842210115878e-05;0
1;1;12;16;0.00527174777259876;0.0108485315478259;0.00512789817049763;-0.0237900154649886;-0.0127478192625477;-0.0214639922886279;-8.7862265551796e-05;-0.0687565960486467;-0.0142827997260011;-0.0601187868179853;-0.0196709273898802;4.2976304519648e-06;0;4.35246418650588e-06;7.70532483319505e-06
1;1;12;17;0.00754062992309579;0.00286632177409681;0.00624622275192428;-0.00152768797018427;-0.00900056413245348;-0.0486931962177361;-0.0298218034315904;0.04310398714503;-0.0100702330334273;0.0220782427130416;-0.0369726403557411;3.66532094361589e-05;0;3.01149937239341e-05;0
1;1;13;11;0.00483321374590434;3.30445968763786e-05;0.00174395326000263;0.0848161695637583;-0.0222304615846155;0.0530893496340167;0.0767388445271794;0.0055556802635829;-0.0354834148577322;-0.0580333653842362;-0.0150725533454026;2.48440778984375e-06;0;5.99643281684141e-06;1.65689783285731e-06
1;1;13;12;0.0163879192193932;0.00668120558079979;0.0124824929805007;0.255992448294828;-0.0103675079790402;0.306373608901482;0.135944350925827;0.142335118404695;-0.0142827997260011;0.0582081603710275;0.0498495718028096;1.67279623831084e-05;0;4.15418351243024e-05;9.65754537259679e-06
1;1;13;13;0.11706404340341;0.772599696225602;0.055154859518679;1;1;1;0.0293911252113858;1;1;1;0.110116137532139;0;0;0;0
1;1;13;14;0.00587010949039025;0.00347817440135911;0.0031477118892966;0.105510373610044;-0.0191176125357482;0.111127973423353;0.0656645357384715;0.01942156938713;-0.0280125932180276;-0.0130478816131406;0.0204539765740426;3.48309180556768e-06;0;1.08805777347782e-05;2.5535366182744e-06
