"town";"year";"kod";"area";"pop";"type";"nuts3";"nuts4"
"Abaújvár";2018;227;7.35;224;"község";"Borsod-Abaúj-Zemplén";"Gönci"
"Abaújvár";2016;227;7.35;254;"község";"Borsod-Abaúj-Zemplén";"Gönci"
"Abda";2017;1188;19.02;3329;"község";"Győr-Moson-Sopron";"Győri"
"Abda";2018;1188;19.02;3290;"község";"Győr-Moson-Sopron";"Győri"
"Abda";2020;1188;19.02;3355;"község";"Győr-Moson-Sopron";"Győri"
"Abda";2016;1188;19.02;3303;"község";"Győr-Moson-Sopron";"Győri"
"Abda";2022;1188;19.02;3368;"község";"Győr-Moson-Sopron";"Győri"
"Abda";2015;1188;19.02;3269;"község";"Győr-Moson-Sopron";"Győri"
"Abda";2019;1188;19.02;3312;"község";"Győr-Moson-Sopron";"Győri"
"Abda";2021;1188;19.02;3377;"község";"Győr-Moson-Sopron";"Győri"
"Abo";2016;1035;31.16;229;"község";"Borsod-Abaúj-Zemplén";"Edelényi"
"Abo";2015;1035;31.16;230;"község";"Borsod-Abaúj-Zemplén";"Edelényi"
"Abo";2020;1035;31.16;181;"község";"Borsod-Abaúj-Zemplén";"Edelényi"
"Abo";2022;1035;31.16;165;"község";"Borsod-Abaúj-Zemplén";"Edelényi"
"Abo";2019;1035;31.16;180;"község";"Borsod-Abaúj-Zemplén";"Edelényi"
"Abo";2021;1035;31.16;164;"község";"Borsod-Abaúj-Zemplén";"Edelényi"
"Abo";2018;1035;31.16;201;"község";"Borsod-Abaúj-Zemplén";"Edelényi"
"Abo";2017;1035;31.16;217;"község";"Borsod-Abaúj-Zemplén";"Edelényi"
"Abony";2017;2787;127.97;14968;"város";"Pest";"Ceglédi"
"Abony";2022;2787;127.97;15048;"város";"Pest";"Ceglédi"
"Abony";2019;2787;127.97;14895;"város";"Pest";"Ceglédi"
"Abony";2021;2787;127.97;14970;"város";"Pest";"Ceglédi"
"Abony";2018;2787;127.97;14941;"város";"Pest";"Ceglédi"
"Abony";2020;2787;127.97;14920;"város";"Pest";"Ceglédi"
"Abony";2015;2787;127.97;15095;"város";"Pest";"Ceglédi"
"Abony";2016;2787;127.97;15056;"város";"Pest";"Ceglédi"
"Abádszalók";2016;1244;132.23;4297;"város";"Jász-Nagykun-Szolnok";"Kunhegyesi"
"Abádszalók";2017;1244;132.23;4263;"város";"Jász-Nagykun-Szolnok";"Kunhegyesi"
"Abádszalók";2022;1244;132.23;4180;"város";"Jász-Nagykun-Szolnok";"Kunhegyesi"
"Abádszalók";2018;1244;132.23;4254;"város";"Jász-Nagykun-Szolnok";"Kunhegyesi"
"Abádszalók";2021;1244;132.23;4219;"város";"Jász-Nagykun-Szolnok";"Kunhegyesi"
"Abádszalók";2020;1244;132.23;4256;"város";"Jász-Nagykun-Szolnok";"Kunhegyesi"
"Abádszalók";2019;1244;132.23;4257;"város";"Jász-Nagykun-Szolnok";"Kunhegyesi"
"Abádszalók";2015;1244;132.23;4345;"város";"Jász-Nagykun-Szolnok";"Kunhegyesi"
"Acsa";2015;1857;26.94;1385;"község";"Pest";"Váci"
"Acsa";2020;1857;26.94;1359;"község";"Pest";"Váci"
"Acsa";2021;1857;26.94;1351;"község";"Pest";"Váci"
"Acsa";2017;1857;26.94;1372;"község";"Pest";"Váci"
"Acsa";2018;1857;26.94;1382;"község";"Pest";"Váci"
"Acsa";2016;1857;26.94;1376;"község";"Pest";"Váci"
"Acsa";2019;1857;26.94;1374;"község";"Pest";"Váci"
"Acsa";2022;1857;26.94;1336;"község";"Pest";"Váci"
"Acsalag";2019;3338;10.42;484;"község";"Győr-Moson-Sopron";"Csornai"
"Acsalag";2015;3338;10.42;483;"község";"Győr-Moson-Sopron";"Csornai"
"Acsalag";2022;3338;10.42;495;"község";"Győr-Moson-Sopron";"Csornai"
"Acsalag";2017;3338;10.42;475;"község";"Győr-Moson-Sopron";"Csornai"
"Acsalag";2021;3338;10.42;504;"község";"Győr-Moson-Sopron";"Csornai"
"Acsalag";2020;3338;10.42;499;"község";"Győr-Moson-Sopron";"Csornai"
"Acsalag";2016;3338;10.42;474;"község";"Győr-Moson-Sopron";"Csornai"
"Acsalag";2018;3338;10.42;484;"község";"Győr-Moson-Sopron";"Csornai"
"Acsád";2017;721;14.34;665;"község";"Vas";"Szombathelyi"
"Acsád";2016;721;14.34;691;"község";"Vas";"Szombathelyi"
"Acsád";2015;721;14.34;689;"község";"Vas";"Szombathelyi"
"Acsád";2021;721;14.34;639;"község";"Vas";"Szombathelyi"
"Acsád";2019;721;14.34;652;"község";"Vas";"Szombathelyi"
"Acsád";2018;721;14.34;660;"község";"Vas";"Szombathelyi"
