"reg";"ind";"rca01"
1;11;0
2;11;1
3;11;1
4;11;1
5;11;1
6;11;1
7;11;1
8;11;0
9;11;1
10;11;1
11;11;0
12;11;1
13;11;0
14;11;1
15;11;1
16;11;1
17;11;1
18;11;1
19;11;0
20;11;1
1;12;0
2;12;1
3;12;1
4;12;0
5;12;1
6;12;0
7;12;1
8;12;0
9;12;0
10;12;1
11;12;0
12;12;0
13;12;1
14;12;1
15;12;1
16;12;0
17;12;1
18;12;1
19;12;1
20;12;1
1;13;0
2;13;0
3;13;1
4;13;0
5;13;0
6;13;1
7;13;0
8;13;1
9;13;1
10;13;1
11;13;0
12;13;0
13;13;1
14;13;1
15;13;0
16;13;1
17;13;0
18;13;1
19;13;0
20;13;1
1;14;0
2;14;1
3;14;1
4;14;1
5;14;0
6;14;0
7;14;1
8;14;1
9;14;1
10;14;0
11;14;1
12;14;0
13;14;0
14;14;0
15;14;1
16;14;1
17;14;1
18;14;1
19;14;1
20;14;1
1;15;0
2;15;1
3;15;1
4;15;1
5;15;0
6;15;1
7;15;1
8;15;1
9;15;1
10;15;0
11;15;0
12;15;1
13;15;0
14;15;1
15;15;1
16;15;1
17;15;1
18;15;1
19;15;0
20;15;1
1;16;0
2;16;0
3;16;1
4;16;1
5;16;1
6;16;1
7;16;1
8;16;0
9;16;1
10;16;1
11;16;1
12;16;1
13;16;0
14;16;1
15;16;1
16;16;1
17;16;1
18;16;0
19;16;0
20;16;0
1;17;0
2;17;0
3;17;1
4;17;1
5;17;0
6;17;1
7;17;0
8;17;1
9;17;1
10;17;1
11;17;1
12;17;1
13;17;0
14;17;1
15;17;1
16;17;1
17;17;0
18;17;1
19;17;0
20;17;1
1;21;0
2;21;1
3;21;1
4;21;0
5;21;1
6;21;1
7;21;0
8;21;0
9;21;0
10;21;0
11;21;0
12;21;1
13;21;0
14;21;1
15;21;1
16;21;1
17;21;1
18;21;0
19;21;1
20;21;1
1;22;0
2;22;1
3;22;1
4;22;0
5;22;0
6;22;0
7;22;0
8;22;0
9;22;0
10;22;1
11;22;1
12;22;1
13;22;0
14;22;1
15;22;1
16;22;1
17;22;1
18;22;1
19;22;1
20;22;1
1;23;0
2;23;1
3;23;0
4;23;0
5;23;0
6;23;0
7;23;0
8;23;1
9;23;0
10;23;1
11;23;0
12;23;0
13;23;0
14;23;1
15;23;0
16;23;0
17;23;1
18;23;0
19;23;1
20;23;1
1;24;0
2;24;1
3;24;1
4;24;0
5;24;1
6;24;0
7;24;0
8;24;1
9;24;0
10;24;1
11;24;0
12;24;1
13;24;0
14;24;1
15;24;0
16;24;0
17;24;1
18;24;1
19;24;1
20;24;1
1;31;0
2;31;1
3;31;0
4;31;1
5;31;0
6;31;1
7;31;0
8;31;1
9;31;1
10;31;0
