"y_values";"x_values";"AME";"SE";"z";"p";"lower";"upper";"dep_var";"x_var"
"io_wiot_hun";-1;0.0239089801577919;0.028339893229437;0.843651031576836;0.398864438713482;-0.031636189897621;0.0794541502131931;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.9;0.0342729422051588;0.0263896315584255;1.29872757523272;0.194037437227978;-0.017449785214638;0.0859956696249533;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.8;0.0446369042525179;0.0248782136803142;1.79421661161463;0.0727786017345623;-0.00412349856060767;0.0933973070656072;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.7;0.0550008662998994;0.0238890907309512;2.30234239215472;0.0213158709382509;0.00817910884383038;0.101822623755978;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.6;0.065364828347259;0.0234883041729882;2.78286707570951;0.00538808760232994;0.0193285981103267;0.111401058584284;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.5;0.0757287903946295;0.0237057762315764;3.19452903186346;0.00140059197339715;0.0292663227551899;0.122191258034101;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.4;0.0860927524419961;0.0245250511976989;3.51040051855524;0.000447432194324915;0.0380245353754546;0.134160969508436;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.3;0.096456714489363;0.0258890268876811;3.72577597867382;0.000194715280903169;0.0457151541946678;0.147198274783956;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.2;0.106820676536732;0.0277173537932058;3.85392766328638;0.00011623795073873;0.0524956613552662;0.161145691718142;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.1;0.1171846385841;0.0299251043719323;3.91593082275133;9.00560699791043e-05;0.0585325117815519;0.175836765386731;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0;0.127548600631467;0.0324349270769187;3.93244604277938;8.40858575146828e-05;0.0639773117195773;0.191119889543465;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.1;0.137912562678834;0.0351821859086121;3.9199543495413;8.85657432446054e-05;0.068956745400669;0.206868379957214;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.2;0.148276524726203;0.0381156519574367;3.89017417022753;0.000100172298113679;0.0735712196423786;0.222981829810058;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.3;0.15864048677357;0.041195410528398;3.85092622548843;0.000117671945201342;0.0778989658096336;0.239382007737638;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.4;0.169004448820939;0.0443912036263543;3.80716076643175;0.000140571369032221;0.0819992884828644;0.256009609158941;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.5;0.179368410868305;0.0476796103295114;3.76195211388472;0.000168592331412746;0.0859180918254692;0.272818729910962;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.6;0.189732372915675;0.0510426169917833;3.71713646551895;0.000201493618736339;0.0896906819350295;0.289774063896165;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.7;0.200096334963042;0.0544666281639754;3.67374191698885;0.000239024161792019;0.0933437054021923;0.306848964523646;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.8;0.210460297010408;0.0579406760800828;3.63234106415189;0.000280861564494574;0.09689865865347;0.324021935367197;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.9;0.220824259057775;0.0614563084368189;3.59319107630419;0.000326652868587183;0.10037210789879;0.34127641021669;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";1;0.231188221105141;0.065006801967499;3.55636970452301;0.000376014835519147;0.103777230498755;0.358599211711606;"egk_coagg_stand_nuts4";"sr_norm"
"sr_norm";-1;0.0694484106953514;0.0317055134596417;2.19042062774833;0.0284937453718348;0.00730674620305483;0.13159007518755;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.9;0.0798123727427029;0.0293162363579732;2.72246313504005;0.00647972624500012;0.0223536053188161;0.137271140166599;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.8;0.0901763347900767;0.0272560684921625;3.30848650516148;0.000938017053274818;0.0367554221853332;0.143597247394924;"egk_coagg_stand_nuts4";"io_wiot_hun"
