"y_values";"x_values";"AME";"SE";"z";"p";"lower";"upper";"dep_var";"x_var"
"io_wiot_hun";-1;0.0238919733769627;0.028109393182388;0.849964039491694;0.395345079506554;-0.0312014248877838;0.0789853716417284;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.9;0.0329089414389736;0.026139638386264;1.25896697393743;0.208042261033677;-0.018323808366983;0.0841416912449731;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.8;0.0419259095009837;0.0246174686351148;1.70309588375711;0.088550126138936;-0.00632344241437149;0.0901752614163673;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.7;0.0509428775630089;0.023629542976526;2.15589770879684;0.0310916534288426;0.0046298243579059;0.0972559307681705;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.6;0.0599598456250153;0.0232440913857719;2.57957364862701;0.00989223623217377;0.0144022636555212;0.105517427594462;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.5;0.0689768136870409;0.0234907685702302;2.93633703302731;0.00332113272272104;0.0229357533202228;0.115017874053856;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.4;0.0779937817490549;0.0243503776618891;3.20298037393988;0.00136013249941315;0.0302679185218361;0.125719644976339;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.3;0.0870107498110691;0.0257616443937877;3.37753089364324;0.000731397367625863;0.0365188546167674;0.137502645005472;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.2;0.0960277178730828;0.0276402111331615;3.47420348601727;0.000512372309687093;0.0418538995270007;0.15020153621916;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";-0.1;0.105044685935095;0.0298981130189513;3.51342192962183;0.000442374392448199;0.0464454612121783;0.163643910657884;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0;0.114061653997111;0.0324562488824372;3.51432029037813;0.00044088087258136;0.0504485751142024;0.177674732879893;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.1;0.123078622059134;0.0352493479851643;3.49165669988945;0.000480034795479055;0.0539911695296633;0.192166074588546;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.2;0.132095590121133;0.0382259156077262;3.45565535896369;0.000548956732646772;0.0571741722538512;0.207017007988273;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.3;0.141112558183148;0.0413463209862712;3.41294109891913;0.000642658305705284;0.060075258156852;0.2221498582095;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.4;0.150129526245177;0.0445804359314724;3.36761009865293;0.000758227447787213;0.0627534774043418;0.237505575085904;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.5;0.159146494307176;0.0479051161245051;3.32211895475956;0.000893365988849968;0.06525419202801;0.253038796586488;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.6;0.168163462369193;0.0513029684372387;3.27785053168834;0.00104600767194878;0.0676114919322104;0.268715432806176;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.7;0.177180430431221;0.0547602021650757;3.2355693263715;0.00121400401024195;0.069852406401535;0.284508454460896;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.8;0.186197398493221;0.0582662967883423;3.19562781155631;0.00139526969478081;0.0719975552755958;0.300397241710941;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";0.9;0.195214366555234;0.0618130289906868;3.15814270458493;0.00158777811840404;0.0740630559580436;0.316365677152196;"egk_coagg_stand_nuts4";"sr_norm"
"io_wiot_hun";1;0.204231334617246;0.0653934995845545;3.12311370265745;0.0017894860169962;0.0760624306085509;0.332400238626074;"egk_coagg_stand_nuts4";"sr_norm"
"sr_norm";-1;0.0718453352846966;0.0314454858798783;2.28475831345541;0.0223270032427167;0.0102133154837801;0.133477355085629;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.9;0.0808623033467109;0.0291017319122333;2.77860793957487;0.00545923721112873;0.0238239569110206;0.137900649782455;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.8;0.0898792714087067;0.0271035128155745;3.3161484277071;0.000912673414697571;0.0367573624356891;0.143001180381781;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.7;0.098896239470747;0.0255320659212924;3.87341313372815;0.00010732167035172;0.0488543098141623;0.148938169127433;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.6;0.107913207532735;0.0244697443669622;4.41006681207646;1.03338730959925e-05;0.0599533898626383;0.155873025202934;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.5;0.116930175594759;0.023984298480601;4.87528020422756;1.08654115201477e-06;0.0699218143783804;0.163938536811254;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.4;0.125947143656771;0.024110606584596;5.22372355978952;1.75360517600656e-07;0.0786912231056349;0.17320306420808;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.3;0.134964111718789;0.0248393461368765;5.43348085634275;5.52652152343859e-08;0.0862798878910118;0.183648335546616;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.2;0.143981079780804;0.0261201592328751;5.51225888391935;3.54257322205033e-08;0.0927865084139261;0.195175651147699;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";-0.1;0.152998047842816;0.0278769988008159;5.48832566001823;4.05761474563841e-08;0.0983601341960527;0.207635961489384;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";0;0.162015015904834;0.0300264454843784;5.39574409462234;6.82401499619686e-08;0.103164264171734;0.220865767638008;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";0.1;0.171031983966845;0.0324906965293915;5.2640294680087;1.4093184563951e-07;0.107351388936539;0.234712578996995;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";0.2;0.18004895202886;0.0352036683941611;5.11449403547735;3.1458302979522e-07;0.1110510298527;0.249046874205194;"egk_coagg_stand_nuts4";"io_wiot_hun"
"sr_norm";0.3;0.189065920090875;0.0381122844140622;4.96076063131802;7.02176770497476e-07;0.114367215270704;0.263764624910922;"egk_coagg_stand_nuts4";"io_wiot_hun"
