;coagg_porter_rca01_2d_nuts4;coagg_porter_rca01_3d_nuts4;coagg_porter_rca01_4d_nuts4
coagg_porter_rca01_2d_nuts4;1;0.51805;0.333098
coagg_porter_rca01_3d_nuts4;0.51805;1;0.224024
coagg_porter_rca01_4d_nuts4;0.333098;0.224024;1
