"appln_id";"ctry_code";"IPC4d"
181854;"HU";"F21Y"
181854;"HU";"H01J"
182512;"HU";"B01D"
182512;"HU";"C04B"
182767;"HU";"H04L"
182767;"HU";"H04M"
182767;"HU";"H04N"
183484;"HU";"F21S"
183484;"HU";"H05B"
184355;"HU";"C07D"
185605;"HU";"A61K"
186349;"HU";"F16F"
186415;"HU";"G02B"
187896;"HU";"A23L"
187896;"HU";"B65D"
188291;"HU";"A47J"
188753;"HU";"F16L"
188753;"HU";"H02G"
190747;"HU";"G08G"
191928;"HU";"G06F"
191928;"HU";"G09C"
191928;"HU";"H04L"
191928;"HU";"H04Q"
191928;"HU";"H04W"
192602;"HU";"G09F"
193005;"HU";"A61K"
193005;"HU";"A61P"
193015;"HU";"C07C"
193079;"HU";"A23D"
193079;"HU";"A23L"
193179;"HU";"A47F"
193197;"HU";"H04L"
193376;"HU";"B41J"
193376;"HU";"B65B"
193661;"HU";"G01N"
193938;"HU";"B65D"
194586;"HU";"B28B"
195428;"HU";"A61K"
195428;"HU";"A61P"
195428;"HU";"C07D"
195725;"HU";"B23P"
195725;"HU";"F26B"
195725;"HU";"F27D"
196909;"HU";"H04L"
196909;"HU";"H04W"
198576;"HU";"A01H"
198576;"HU";"C12N"
199503;"HU";"B65D"
200417;"HU";"C07H"
200638;"HU";"B65D"
202043;"HU";"F16J"
202043;"HU";"F16K"
202043;"HU";"F16L"
206348;"HU";"F16K"
207771;"HU";"H01L"
208870;"HU";"A61K"
208870;"HU";"A61P"
208870;"HU";"C07C"
208870;"HU";"C07D"
208975;"HU";"A63C"
208975;"HU";"B62J"
208975;"HU";"B62K"
208975;"HU";"B62M"
210629;"HU";"B01J"
211771;"HU";"C12Q"
214875;"HU";"C09K"
214875;"HU";"E02D"
215280;"HU";"H01L"
217434;"HU";"G07F"
217534;"HU";"G07F"
217689;"HU";"G01J"
217689;"HU";"G01N"
217689;"HU";"G02B"
219344;"HU";"F02M"
219344;"HU";"F16K"
219344;"HU";"F28F"
220601;"HU";"C07C"
220856;"HU";"G01N"
221520;"HU";"B60G"
222951;"HU";"H01J"
222951;"HU";"H01K"
223501;"HU";"F02M"
223501;"HU";"F28D"
223501;"HU";"F28F"
224198;"HU";"A61K"
224198;"HU";"A61P"
224198;"HU";"C07C"
224198;"HU";"C07D"
224199;"HU";"A61K"
224199;"HU";"A61P"
224672;"HU";"A47J"
224741;"HU";"A61K"
224741;"HU";"C07C"
226552;"HU";"H01R"
226552;"HU";"H05K"
226640;"HU";"H03M"
229998;"HU";"C12M"
229998;"HU";"C12N"
229998;"HU";"C12Q"
229998;"HU";"G01N"
230772;"HU";"A61B"
232497;"HU";"B65G"
233810;"HU";"B60J"
233811;"HU";"B60J"
240902;"HU";"A61K"
240902;"HU";"C07K"
240902;"HU";"C12N"
246660;"HU";"G01N"
247226;"HU";"E01H"
248888;"HU";"H03H"
249324;"HU";"A61K"
249324;"HU";"A61P"
249821;"HU";"A23K"
249821;"HU";"A23L"
249821;"HU";"A61K"
249821;"HU";"A61P"
249853;"HU";"A63D"
249853;"HU";"A63F"
249854;"HU";"H04L"
249854;"HU";"H04Q"
249854;"HU";"H04W"
250054;"HU";"G21C"
250054;"HU";"G21F"
250054;"HU";"G21G"
250054;"HU";"G21K"
250054;"HU";"H05H"
250671;"HU";"H04Q"
250671;"HU";"H04W"
252978;"HU";"B65D"
253002;"HU";"B65D"
253129;"HU";"G02B"
253129;"HU";"H04N"
253529;"HU";"G07F"
257722;"HU";"B01D"
257722;"HU";"B01J"
257722;"HU";"C02F"
257723;"HU";"B01L"
257723;"HU";"G01N"
257723;"HU";"G06K"
257945;"HU";"B65D"
259819;"HU";"G02C"
261236;"HU";"H04L"
261236;"HU";"H04Q"
261236;"HU";"H04W"
261289;"HU";"A01K"
262442;"HU";"A47J"
263850;"HU";"A61K"
263850;"HU";"A61P"
265783;"HU";"C12Q"
270559;"HU";"B64B"
271003;"HU";"G01H"
271003;"HU";"G01N"
271985;"HU";"B29C"
272371;"HU";"A61B"
273747;"HU";"C08F"
277320;"HU";"H04L"
279751;"HU";"G06Q"
280289;"HU";"F16L"
281165;"HU";"H01J"
281385;"HU";"B01D"
281385;"HU";"B60T"
281411;"HU";"B60T"
285459;"HU";"A61K"
285459;"HU";"A61P"
285459;"HU";"C07D"
285460;"HU";"A61K"
285460;"HU";"A61P"
292006;"HU";"G03F"
292006;"HU";"H01S"
292687;"HU";"A61K"
292687;"HU";"A61Q"
297998;"HU";"H02M"
298025;"HU";"F28D"
298025;"HU";"H01L"
299196;"HU";"A23L"
299196;"HU";"B65D"
299196;"HU";"H05B"
308279;"HU";"C12Q"
309661;"HU";"A61K"
309661;"HU";"A61P"
309661;"HU";"C07D"
311426;"HU";"G06Q"
311426;"HU";"G07C"
315790;"HU";"H05K"
337713;"HU";"H04L"
337713;"HU";"H04Q"
337744;"HU";"B07B"
338315;"HU";"H01Q"
338315;"HU";"H04B"
338440;"HU";"A23C"
338440;"HU";"A23D"
338458;"HU";"H02H"
338458;"HU";"H02M"
338558;"HU";"G01N"
339323;"HU";"A61B"
339878;"HU";"G06K"
339878;"HU";"G06V"
339878;"HU";"G07C"
339878;"HU";"H04L"
341633;"HU";"H04Q"
341633;"HU";"H04W"
342449;"HU";"A01H"
342449;"HU";"C12N"
345332;"HU";"C07J"
346263;"HU";"C07D"
346264;"HU";"C07D"
346265;"HU";"A61K"
346265;"HU";"A61P"
346265;"HU";"C07D"
346266;"HU";"A61K"
346266;"HU";"A61P"
346266;"HU";"C07D"
346404;"HU";"A23B"
346404;"HU";"A23L"
346404;"HU";"F24J"
346404;"HU";"F24S"
346404;"HU";"F26B"
346446;"HU";"H04L"
346446;"HU";"H04M"
346446;"HU";"H04Q"
346656;"HU";"A61K"
346872;"HU";"F16F"
352204;"HU";"A61K"
352204;"HU";"A61P"
352204;"HU";"C07D"
352318;"HU";"C07K"
352318;"HU";"C12N"
353356;"HU";"H04L"
353433;"HU";"A61K"
353433;"HU";"A61P"
355055;"HU";"F02N"
355055;"HU";"H01H"
355640;"HU";"B02C"
355640;"HU";"C02F"
357698;"HU";"B60J"
357698;"HU";"E06B"
357843;"HU";"G01R"
357843;"HU";"H01M"
358551;"HU";"C07D"
360511;"HU";"E04G"
362181;"HU";"A23L"
362181;"HU";"B01F"
362181;"HU";"B67D"
362181;"HU";"G05D"
363047;"HU";"A61K"
363047;"HU";"A61P"
364228;"HU";"B60H"
364949;"HU";"G06K"
364949;"HU";"G07C"
364949;"HU";"H04L"
365108;"HU";"G01N"
365438;"HU";"A61K"
365438;"HU";"A61P"
365438;"HU";"C07D"
366084;"HU";"H04L"
