;coagg_egk_2d_nuts4;coagg_egk_3d_nuts4;coagg_egk_4d_nuts4
coagg_egk_2d_nuts4;1;0.395966;0.23521
coagg_egk_3d_nuts4;0.395966;1;0.088719
coagg_egk_4d_nuts4;0.23521;0.088719;1
